"SCHOOLID"	"SEX"	"KIND"	"GRADE"	"MATH"	"ESCS"	"CHANGE"	"FAMSTRUC"	"READ"	"TECH"	"LYCEUM"	"EARLY"	"ESCSM"	"SCHLSIZE"	"SCMATEDU"	"SCMATBUI"	"PROPSTAY"	"ISTMED"	"ISTLAR"	"MEDDISC"	"MEDSTUR"	"PCGMED"	"PCGALT"
"1"	14006	"Female"	1	1	418.3985	1.7379	"Yes"	"1"	503.8255	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"2"	14006	"Female"	1	1	477.6757	0.82284	"Yes"	"0"	588.4349	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"3"	14006	"Female"	1	1	465.1348	0.88355	"Yes"	"1"	550.46	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"4"	14006	"Male"	1	0	454.5412	0.20895	"Yes"	"0"	407.0222	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"5"	14006	"Male"	1	1	490.2944	1.36426	"Yes"	"1"	571.2904	0	1	1	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"6"	14006	"Male"	1	1	537.1865	-0.23115	"Yes"	"1"	614.7637	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"7"	14006	"Male"	1	1	541.0812	1.37137	"Yes"	"1"	454.3455	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"8"	14006	"Female"	1	1	498.3175	0.76128	"Yes"	"1"	633.4805	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"9"	14006	"Female"	1	1	582.7543	1.20573	"Yes"	"1"	562.3768	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"10"	14006	"Male"	1	1	514.5973	-0.3973	"Yes"	"1"	553.0027	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"11"	14006	"Female"	1	1	542.639	1.17959	"Yes"	"1"	687.1061	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"12"	14006	"Male"	1	1	536.0181	1.97655	"Yes"	"1"	465.9759	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"13"	14006	"Female"	1	1	555.5694	1.10115	"Yes"	"1"	632.1299	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"14"	14006	"Male"	1	1	518.1025	0.43114	"Yes"	"1"	535.5171	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"15"	14006	"Male"	1	1	569.045	0.34803	"Yes"	"0"	670.9101	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"16"	14006	"Female"	1	1	552.0642	2.21455	"Yes"	"1"	601.6228	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"17"	14006	"Male"	1	1	599.8909	-0.11283	"Yes"	"1"	485.226	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"18"	14006	"Male"	1	1	594.6721	0.83971	"Yes"	"1"	512.7378	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"19"	14006	"Female"	1	1	589.3753	1.87197	"Yes"	"1"	573.4991	0	1	1	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"20"	14006	"Male"	1	1	583.2996	0.06044	"Yes"	"1"	646.8474	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"21"	14006	"Male"	1	1	562.9693	0.97971	"Yes"	"0"	510.1711	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"22"	14006	"Male"	1	1	638.6041	1.5026	"Yes"	"1"	572.2529	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"23"	14006	"Female"	1	1	651.6903	0.15692	"Yes"	"1"	777.5151	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"24"	14006	"Female"	1	1	680.1994	0.08658	"Yes"	"1"	640.0744	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"25"	14006	"Female"	1	1	719.6136	1.1109	"Yes"	"1"	693.3029	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"26"	14006	"Male"	1	1	650.2103	1.84583	"Yes"	"1"	618.5335	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"27"	14006	"Female"	1	1	650.8335	1.45031	"No"	"1"	505.0172	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"28"	14006	"Male"	1	1	712.1358	1.24065	"Yes"	"0"	639.6285	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"29"	14006	"Female"	1	1	682.5362	0.93583	"Yes"	"1"	658.3469	0	1	1	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"30"	14006	"Male"	1	1	720.3147	1.00632	"Yes"	"1"	656.9537	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"31"	14006	"Male"	1	0	738.2303	1.24115	"Yes"	"0"	590.4604	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"32"	14006	"Male"	1	1	685.0288	2.34257	"Yes"	"1"	642.0348	0	1	1	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
"33"	14006	"Male"	1	1	746.5649	1.31908	"Yes"	"1"	638.0244	0	1	0	0.9956418	660	0.847	-0.137	4	0	1	0.395697	-0.954109	1	0
